A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|(sensação -> de)
(insegurança -> de)
(poder -> público)
(público -> de)
(eram -> características)
(características -> sensação)
(características -> debilidade)
(debilidade -> de)
(poder -> público)
(público -> de)
(final -> século)
(século -> de)
(18 -> século)
(18 -> de)
(Estados -> Unidos)
(Unidos -> de)
(final -> 18)
(versão -> segundo)
(versão -> aceita)
(seu -> palavra)
(teria -> sido)
(sido -> inventada)
(inventada -> palavra)
(palavra -> partir)
(prática -> adotada)
(adotada -> partir)
(Lynch -> juiz)
(Lynch -> um)
(juiz -> condenar)
(juiz -> executar)
(adversários -> execuçãolhe)
(processo -> legal)
(devido -> processo)
(processo -> legal)
(-> processo)
REFINE [(insegurança]
REFINE [(insegurança]
REFINE [(insegurança]
REFINE [(insegurança]
REFINE [insegurança]
REFINE [insegurança]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(poder]
REFINE [(poder]
REFINE [(poder]
REFINE [(poder]
REFINE [poder]
REFINE [poder]
-----------END REFINE---------
REFINE [público)]
REFINE [público)]
REFINE [público)]
REFINE [público)]
REFINE [público]
-----------END REFINE---------
REFINE [(público]
REFINE [(público]
REFINE [(público]
REFINE [(público]
REFINE [público]
REFINE [público]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(eram]
REFINE [(eram]
REFINE [(eram]
REFINE [(eram]
REFINE [eram]
REFINE [eram]
-----------END REFINE---------
REFINE [características)]
REFINE [características)]
REFINE [características)]
REFINE [características)]
REFINE [características]
-----------END REFINE---------
REFINE [(características]
REFINE [(características]
REFINE [(características]
REFINE [(características]
REFINE [características]
REFINE [características]
-----------END REFINE---------
REFINE [sensação)]
REFINE [sensação)]
REFINE [sensação)]
REFINE [sensação)]
REFINE [sensação]
-----------END REFINE---------
REFINE [(características]
REFINE [(características]
REFINE [(características]
REFINE [(características]
REFINE [características]
REFINE [características]
-----------END REFINE---------
REFINE [debilidade)]
REFINE [debilidade)]
REFINE [debilidade)]
REFINE [debilidade)]
REFINE [debilidade]
-----------END REFINE---------
REFINE [(debilidade]
REFINE [(debilidade]
REFINE [(debilidade]
REFINE [(debilidade]
REFINE [debilidade]
REFINE [debilidade]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(poder]
REFINE [(poder]
REFINE [(poder]
REFINE [(poder]
REFINE [poder]
REFINE [poder]
-----------END REFINE---------
REFINE [público)]
REFINE [público)]
REFINE [público)]
REFINE [público)]
REFINE [público]
-----------END REFINE---------
REFINE [(público]
REFINE [(público]
REFINE [(público]
REFINE [(público]
REFINE [público]
REFINE [público]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(final]
REFINE [(final]
REFINE [(final]
REFINE [(final]
REFINE [final]
REFINE [final]
-----------END REFINE---------
REFINE [século)]
REFINE [século)]
REFINE [século)]
REFINE [século)]
REFINE [século]
-----------END REFINE---------
REFINE [(século]
REFINE [(século]
REFINE [(século]
REFINE [(século]
REFINE [século]
REFINE [século]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(18]
REFINE [(18]
REFINE [(18]
REFINE [(18]
REFINE [18]
REFINE [18]
-----------END REFINE---------
REFINE [século)]
REFINE [século)]
REFINE [século)]
REFINE [século)]
REFINE [século]
-----------END REFINE---------
REFINE [(18]
REFINE [(18]
REFINE [(18]
REFINE [(18]
REFINE [18]
REFINE [18]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(Estados]
REFINE [(Estados]
REFINE [(Estados]
REFINE [(Estados]
REFINE [Estados]
REFINE [Estados]
-----------END REFINE---------
REFINE [Unidos)]
REFINE [Unidos)]
REFINE [Unidos)]
REFINE [Unidos)]
REFINE [Unidos]
-----------END REFINE---------
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(final]
REFINE [(final]
REFINE [(final]
REFINE [(final]
REFINE [final]
REFINE [final]
-----------END REFINE---------
REFINE [18)]
REFINE [18)]
